fov_id,manual_density,manual_overlap,model_density_label,model_overlap_label,model_density_score,model_overlap_score,fluorescent_present,fluorescent_confidence,fluorescent_contrast_ratio
1,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4721532751115678,0.4047263549943987,False,0.0,1.6833
2,monolayer,no rouleaux,monolayer,no rouleaux,0.41353001317688143,0.3388577511098406,False,0.0,1.691
3,monolayer,no rouleaux,monolayer,no rouleaux,0.3995749371153424,0.32450921265005894,False,0.0759,2.396
4,monolayer,no rouleaux,monolayer,no rouleaux,0.3822950417806605,0.30937719929577634,False,0.0,1.4604
5,monolayer,no rouleaux,monolayer,no rouleaux,0.39747982068428067,0.3262802246611555,False,0.0,1.4018
6,monolayer,no rouleaux,monolayer,no rouleaux,0.40790198699263336,0.3333693434399035,False,0.0,1.3845
7,monolayer,no rouleaux,monolayer,no rouleaux,0.41826871194266707,0.346339254067337,False,0.0,1.2756
8,monolayer,no rouleaux,slightly dense,no rouleaux,0.4444994778060101,0.3713005217220325,False,0.0,1.2563
9,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4487211988623135,0.374874612019518,False,0.0,1.2463
10,monolayer,no rouleaux,slightly dense,slight rouleaux,0.45925983677093946,0.394094418009096,False,0.0,1.2758
11,monolayer,no rouleaux,monolayer,no rouleaux,0.39957334554674845,0.32373363285266876,False,0.0,1.2301
12,monolayer,no rouleaux,monolayer,no rouleaux,0.4376103099000988,0.36266570627158295,False,0.0,1.2937
13,monolayer,no rouleaux,slightly dense,slight rouleaux,0.45080572436123073,0.37857180981636757,False,0.0,1.2778
14,monolayer,no rouleaux,monolayer,no rouleaux,0.4120692029482624,0.3408000619051529,False,0.0,1.3364
15,monolayer,no rouleaux,monolayer,no rouleaux,0.402414594457988,0.32688437832545586,False,0.0,1.8546
16,slightly dense,no rouleaux,slightly dense,no rouleaux,0.44642480123118555,0.3708887530572092,False,0.0,1.4792
17,slightly dense,no rouleaux,slightly dense,slight rouleaux,0.4638728269281441,0.39434773545493906,False,0.0,1.2667
18,slightly dense,no rouleaux,slightly dense,slight rouleaux,0.44719941210938396,0.3809961567771855,False,0.0,1.4878
19,monolayer,no rouleaux,slightly dense,slight rouleaux,0.4813631236552586,0.41748054231386245,False,0.0,1.4161
20,monolayer,no rouleaux,monolayer,no rouleaux,0.4281772474607279,0.3572365005421155,False,0.0,1.5611
21,monolayer,no rouleaux,monolayer,no rouleaux,0.39162857245719007,0.31748499277027764,False,0.0,1.4257
22,monolayer,no rouleaux,monolayer,no rouleaux,0.3985026985862887,0.33003672297785025,False,0.0,1.5126
23,monolayer,no rouleaux,monolayer,no rouleaux,0.3888488516356689,0.31704180861112113,False,0.0,1.3754
24,monolayer,no rouleaux,slightly dense,no rouleaux,0.44394803210031525,0.3673455407399422,False,0.0,1.3948
